species,basisOfRecord,brackish,catalogNumber,class,classid,date_end,date_mid,date_start,date_year,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,kingdom,kingdomid,locality,marine,occurrenceID,occurrenceStatus,order,orderid,phylum,phylumid,scientificName,scientificNameID,speciesid,originalScientificName,aphiaID,bathymetry,shoredistance,sst,sss,coordinateUncertaintyInMeters,country,geodeticDatum,depth,individualCount,lifeStage,maximumDepthInMeters,minimumDepthInMeters,samplingProtocol,waterBody,day,island,islandGroup,modified,month,taxonID,type,verbatimDepth,year,higherGeography,language,namePublishedInID,originalNameUsage,scientificNameAuthorship,specificEpithet,startDayOfYear,continent,acceptedNameUsage,acceptedNameUsageID,countryCode,dateIdentified,eventRemarks,fieldNumber,locationID,locationRemarks,taxonRank,typeStatus,georeferenceProtocol,georeferenceRemarks,higherClassification,nomenclaturalCode,stateProvince,unaccepted,habitat,sex,coordinatePrecision,occurrenceRemarks,organismQuantity,organismQuantityType,vernacularName,endDayOfYear,sst_bad,sss_bad
Sardinella longiceps,HumanObservation,False,4012,Teleostei,293496.0,-3865795200000.0,-3865795200000.0,-3865795200000.0,1847.0,10.0,93.0,1847-07-02 12:00:00+00:00,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Andaman & Nicobar Islands,True,12590,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,1324.0,77172.0,28.91,32.43,,,,,,,,,,,2.0,,,,7.0,,,,1847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,,,,,12.4105308574551,53.2672707221978,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Socotra Archipelago,True,socotra-zajonz-2019:occurrence:7c20f4189386153ade2f048c7088cd95,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,533.0,13467.0,26.5,35.92,160752.954386071,Yemen,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,PreservedSpecimen,False,IO/SS/FIS/00089,Teleostei,293496.0,1276473600000.0,1276473600000.0,1276473600000.0,2010.0,8.66,76.56,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Intermediate between Thiruvananthapuram and Kollam,True,87617,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,48.0,17634.0,28.23,34.35,,,,25.0,1.0,Larvae,50.0,0.0,Bongo Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1244937600000.0,1244246400000.0,1243641600000.0,2009.0,8.47,76.49,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Tvpm,True,94224,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,94.0,36801.0,28.36,34.36,,,,100.0,,,100.0,,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,PreservedSpecimen,False,21422,Teleostei,293496.0,,,,,23.8333,57.6667,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,,True,FN2[32848459]:BPBM-5[212269:21422],,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,15.0,6186.0,28.29,36.85,,,,,1.0,,,,,,,Gulf of Oman,Gulf of Oman,9/1/2003,,212269.0,Collection,18m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1293753600000.0,1262217600000.0,1230768000000.0,2009.0,11.7167,79.8167,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Cuddalore,True,82396,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,14.0,3674.0,28.53,33.09,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1376179200000.0,1374969600000.0,1373760000000.0,2013.0,9.4984,76.14273333,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Aleppey,True,94393,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,29.0,18665.0,28.4,34.41,,,,33.0,,,33.0,33.0,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,PreservedSpecimen,False,35715,Teleostei,293496.0,,,,,11.250505,75.773362,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,,True,FN2[31250045]:CAS-62[212269:35715],,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,-7.0,-211.0,,,4793.0,India,,,3.0,,,,,,,,,00:00.0,,212269.0,Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1376179200000.0,1374969600000.0,1373760000000.0,2013.0,13.87516667,74.38733333,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Bhatkal,True,94407,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,32.0,16124.0,28.57,35.08,,,,32.0,,,32.0,32.0,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
Sardinella longiceps,HumanObservation,False,,Teleostei,293496.0,1244937600000.0,1244246400000.0,1243641600000.0,2009.0,8.47,76.8,,Dorosomatidae,1618557.0,Sardinella,125721.0,Animalia,2.0,Tvpm,True,94222,present,Clupeiformes,10297.0,Chordata,1821.0,Sardinella longiceps,urn:lsid:marinespecies.org:taxname:212269,212269.0,Sardinella longiceps,212269.0,46.0,10074.0,28.15,34.32,,,,30.0,,,30.0,,,South Eastern Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
